"Book","Daily P&L","Book Commentary","WTD P&L","MTD P&L","YTD P&L","Month-End Adjustment","Carry","Position","New Trading","New Trading Commentary","Other","Total Risk P&L","Unattributed","Unattributed Commentary","Estimate","Actual - Estimate","Estimate Commentary","Cert. Time","Approved/ Rejected by","Vers.#","Updated","Days Outst.","[X]"
"TORUSSWAP","0","","0","0","0","0","0","0","0","","0","0","0","","0","0","","18:57","","","18:57","241",""
"STRATEGIC","1278.5500000000002","","1247.3000000000466","111.42999999999302","899685.1100000001","0","21.7","1256.85","0","","0","1278.55","2.7355895326763857e-13","","0","1278.5500000000002","","18:57","","","18:57","241",""
"SWAPSHEDGE","-2400.6","","-401.0800000000745","64777.93999999971","295380.4199999999","0","2092.96","-4492.7699999999995","0","","0","-2399.8100000000004","-0.7899999999997398","","0","-2400.6","","18:57","","","18:57","241",""
"TORINFDIR","0","","0","0","0","0","0","0","0","","0","0","0","","0","0","","18:57","","","18:57","241",""
"SWAPS","-277665.48000000045","","85296.41999995708","3237322.569999963","40642966.81999996","0","-129319.11000000002","-18794.84000000058","-203496.91999999998","","0","-351610.87000000046","73945.3900000001","","-392874.00126457214","115208.5212645717","","18:57","","","18:57","241",""
"STRUCTURED","-2490.269999999997","","61712.130000001984","433684.71000000136","6956260.580000001","-57520.810000000005","-1131203.46","867759.33","-888035.4800000001","","1190610.2","39130.58999999985","-41620.85999999987","","-76845.6404209137","74355.3704209137","","18:57","","","18:57","241",""
"STRUCTBF","11708.829999999998","","24409.37999999989","218193.05000000005","712944.6799999999","0","-800.78","4013.17","0","","0","3212.39","8496.439999999997","","3989.400029182434","7719.429970817564","","18:57","","","18:57","241",""
"NOTESMKTRNF","0","","0","0","-1361645.06","0","0","0","0","","0","0","0","","0","0","","18:57","","","18:57","241",""
"NOTESACCTSTR","-7.275957614183426e-12","","1.4551915228366852e-11","1.0913936421275139e-11","-0.21999999997933628","-7.275957614183426e-12","0","0","0","","0","0","-7.275957614183426e-12","","0","-7.275957614183426e-12","","18:57","","","18:57","241",""
"TORUSFI","-33371.63","","-38256.810000000056","45391.85000000009","858614.08","-22191.07","899.51","-12307.55","0","","0","-11408.039999999999","-21963.589999999997","","-10638.400077819824","-22733.229922180173","","18:57","","","18:57","241",""
"ADMINCOST","0","","0","0","0","0","0","0","0","","0","0","0","","0","0","","18:57","","","18:57","241",""
"FLMSTRFVOH","3615433.0699999984","","98224764.21","28135804.139999993","98224764.21","-1105325.9500000011","0","0","0","","0","0","3615433.0699999984","","0","3615433.0699999984","","18:57","","","18:57","241",""
"FLMSTRPH","0","","0","0","0","0","0","0","0","","0","0","0","","0","0","","18:57","","","18:57","241",""
"FLMSTRFVOU","-2518129.46","","-62282928.66000001","-24345473.02000001","-62282928.66000001","-283995.5199999986","0","0","0","","0","0","-2518129.46","","0","-2518129.46","","18:57","","","18:57","241",""
"Total","794363.0099999979","","36075842.88999994","7789812.669999946","84946041.95999993","-1469033.3499999996","-1258309.18","837434.1899999994","-1091532.4000000001","","1190610.2","-321797.1900000006","1116160.1999999988","","-476368.64173412323","1270731.6517341211","","","","","","",""
